timestamp,record_id,cpse,legacy_material_code,national_material_code,action,result,confidence,conflict_count,system
2026-09-12 11:35:35,0,CPSE-C,CPSEC-769987,NMC-CABL-0008,AI_RECOMMENDED_MIGRATION,PENDING_EXECUTION,97.67,0,Material Harmonization Engine
2026-09-12 11:35:35,1,CPSE-C,CPSEC-454508,NMC-PUMP-0009,AI_RECOMMENDED_MIGRATION,PENDING_EXECUTION,97.12,0,Material Harmonization Engine
2026-09-12 11:35:35,2,CPSE-C,CPSEC-329974,NMC-GASK-0001,AI_RECOMMENDED_MIGRATION,PENDING_EXECUTION,97.67,0,Material Harmonization Engine
2026-09-12 11:35:35,3,CPSE-A,CPSEA-207473,NMC-FAST-0004,AI_RECOMMENDED_MIGRATION,PENDING_EXECUTION,97.83,0,Material Harmonization Engine
2026-09-12 11:35:35,4,CPSE-C,CPSEC-172574,NMC-MOTR-0008,AI_RECOMMENDED_MIGRATION,PENDING_EXECUTION,98.6,0,Material Harmonization Engine
2026-09-12 11:35:35,5,CPSE-B,CPSEB-352572,NMC-MOTR-0006,AI_RECOMMENDED_MIGRATION,PENDING_EXECUTION,100.0,0,Material Harmonization Engine
2026-09-12 11:35:35,6,CPSE-B,CPSEB-898975,NMC-CABL-0006,AI_RECOMMENDED_MIGRATION,PENDING_EXECUTION,97.67,0,Material Harmonization Engine
2026-09-12 11:35:35,7,CPSE-B,CPSEB-383060,NMC-PIPE-0007,AI_RECOMMENDED_MIGRATION,PENDING_EXECUTION,99.28,0,Material Harmonization Engine
2026-09-12 11:35:35,8,CPSE-C,CPSEC-356787,NMC-FAST-0002,AI_RECOMMENDED_MIGRATION,PENDING_EXECUTION,97.14,0,Material Harmonization Engine
2026-09-12 11:35:35,9,CPSE-B,CPSEB-112038,NMC-GASK-0009,AI_RECOMMENDED_MIGRATION,PENDING_EXECUTION,91.76,0,Material Harmonization Engine
2026-09-12 11:35:35,10,CPSE-A,CPSEA-231869,NMC-MOTR-0010,AI_RECOMMENDED_MIGRATION,PENDING_EXECUTION,100.0,0,Material Harmonization Engine
